russian_tv,pro_russian,prior_pro_russian,within_25km
0,2.721088435,25.14285714,1
0,0.892857143,35.34482759,0
1,1.694915254,20.53231939,1
0,72.26890756,84.47761194,1
0,1.282051282,28.99408284,0
1,1.428571429,45.58823529,0
0,1.57480315,36.11111111,0
0,1.639344262,31.16531165,0
0,1.734104046,25.86206897,0
0,1.785714286,27.16763006,0
0,1.948051948,15.16516517,0
0,2.040816327,47.01986755,0
0,2.068965517,24.82758621,0
0,2.094240838,17.32673267,0
0,2.105263158,13.88888889,0
0,2.105263158,30,0
0,2.262443439,24.88584475,0
0,2.272727273,18.91385768,0
0,2.281368821,24.84662577,0
0,2.352941176,15.58441558,0
0,2.362204724,37.97909408,0
0,2.409638554,38.8,0
0,2.48447205,16.35434412,0
0,2.5,30.3030303,0
0,2.5,15.65329884,0
0,2.547770701,23.86363636,0
0,0,33.33333333,0
0,2.559726962,17.86310518,0
0,2.580645161,22.03065134,0
0,2.586206897,32.43243243,0
0,2.604166667,28.25,0
0,2.604166667,19.8245614,0
0,2.619270346,11.68949772,0
0,2.692307692,23.57019064,0
0,2.692307692,31.77570093,0
0,2.739726027,43.47826087,0
0,2.739726027,26.49842271,0
0,2.745098039,24.82269504,0
0,2.909090909,17.75862069,0
0,2.928870293,27.37642586,0
0,2.941176471,42.30769231,0
0,2.985074627,26.69616519,0
0,3.064066852,16.39344262,0
0,3.083700441,32.35294118,0
0,3.111111111,33.58208955,0
0,3.125,40.95238095,0
0,3.135888502,31.8452381,0
0,3.135888502,23.79421222,0
0,3.142857143,27.89473684,0
0,3.184713376,31.28205128,0
0,3.218390805,20.56277056,0
0,3.225806452,17.17948718,0
0,3.238866397,18.26625387,0
0,3.260869565,23.14487633,0
0,3.278688525,33.87096774,0
0,3.284671533,17.82531194,0
0,3.286384977,32.5,0
0,3.309352518,31.76291793,0
0,3.309692671,19.0023753,0
0,3.333333333,29.87421384,0
0,3.342618384,25.83979328,0
0,3.355704698,27.53623188,0
0,3.364485981,30.22875817,0
0,3.370786517,28.7037037,0
0,3.401360544,26.71081678,0
0,3.401360544,20.66957787,0
0,3.414634146,20.95238095,0
0,3.415409055,18.32061069,0
0,3.428571429,27.31958763,0
0,3.435114504,17.9297597,0
0,3.442028986,18.65808824,0
0,3.448275862,47.44525547,0
0,3.448275862,29.64071856,0
0,3.457446809,38.18181818,0
0,3.461538462,23.07692308,0
0,3.472222222,15.50802139,0
0,3.481012658,26.74772036,0
0,3.515625,25.26315789,0
0,3.529411765,23.50230415,0
0,3.536977492,20.41343669,0
0,3.543307087,29.43396226,0
0,3.571428571,24.61538462,0
0,3.571428571,15.99229287,0
0,3.592814371,18.5915493,0
0,3.597122302,31.84713376,0
0,3.601694915,23.8410596,0
0,3.603603604,29.72972973,0
0,3.608736942,15.45801527,0
0,3.619302949,16.79586563,0
0,3.626943005,17.57894737,0
0,3.626943005,28.41121495,0
0,3.636363636,43.10344828,0
0,3.653846154,27.17190388,0
0,3.65535248,24.87437186,0
0,3.661327231,27.95918367,0
0,3.664122137,14.44622793,0
0,3.676470588,35.61643836,0
0,3.727272727,23.62278245,0
0,3.75,22.92089249,0
0,3.761755486,17.24137931,0
0,3.776978417,21.64179104,0
0,3.780068729,24.57627119,0
0,3.781512605,48.27586207,0
0,3.787878788,26.98412698,0
0,3.846153846,55.75221239,0
0,3.870162297,57.70750988,0
0,3.870967742,28.46715328,0
0,3.90070922,24.67532468,0
0,3.917050691,22.40566038,0
